,item_1,item_2,item_3
2652,rice,french fries,body spray
2653,spaghetti,avocado,light mayo
2654,spaghetti,soup,milk
2657,mineral water,salmon,green tea
2661,burgers,fresh tuna,parmesan cheese
2662,frozen vegetables,vegetables mix,eggs
2664,tomatoes,parmesan cheese,mineral water
2667,burgers,herb & pepper,shrimp
2668,turkey,tomatoes,pepper
2669,shrimp,mineral water,black tea
2670,chocolate,grated cheese,salmon
2671,light cream,chicken,cereals
2673,pickles,frozen vegetables,tomatoes
2674,turkey,eggs,cooking oil
2675,chocolate,soup,butter
2676,chocolate,spaghetti,mineral water
2677,burgers,herb & pepper,mineral water
2678,herb & pepper,spaghetti,cooking oil
2679,mineral water,vegetables mix,yogurt cake
2683,burgers,ground beef,pepper
2684,turkey,burgers,frozen vegetables
2685,soda,cottage cheese,shampoo
2688,whole wheat pasta,mineral water,vegetables mix
2689,pepper,milk,muffins
2690,herb & pepper,ground beef,tomato sauce
2691,ground beef,mineral water,gums
2693,mineral water,black tea,mashed potato
2694,shrimp,chocolate,avocado
2695,burgers,shrimp,mineral water
2698,soup,cereals,french fries
2699,mineral water,fromage blanc,bacon
2700,turkey,grated cheese,frozen vegetables
2702,spaghetti,fromage blanc,tea
2704,frozen vegetables,spaghetti,meatballs
2705,herb & pepper,milk,cake
2706,olive oil,pancakes,chocolate
2707,frozen vegetables,tomatoes,spaghetti
2709,ground beef,gums,energy drink
2710,turkey,burgers,chocolate
2711,tomatoes,spaghetti,mineral water
2720,avocado,milk,whole wheat rice
2721,cereals,yogurt cake,mint
2723,turkey,french fries,green tea
2724,burgers,spaghetti,chicken
2725,butter,chicken,cider
2729,ham,chocolate,whole wheat pasta
2732,frozen vegetables,tomatoes,french fries
2733,shrimp,tomatoes,ground beef
2734,eggs,french fries,cookies
2736,whole wheat rice,chocolate,energy drink
2738,turkey,butter,oil
2739,grated cheese,shrimp,tomatoes
2740,milk,french wine,eggs
2744,shrimp,tomato sauce,spaghetti
2746,burgers,pancakes,cake
2749,bacon,honey,french fries
2751,pickles,tomatoes,spaghetti
2752,chocolate,spaghetti,escalope
2753,mineral water,avocado,french fries
2754,fresh tuna,ground beef,spaghetti
2758,shrimp,frozen vegetables,milk
2759,frozen vegetables,avocado,milk
2760,herb & pepper,shrimp,ground beef
2762,burgers,eggs,champagne
2764,ham,spaghetti,honey
2765,mineral water,eggs,yogurt cake
2766,herb & pepper,ground beef,mineral water
2767,fresh tuna,ham,whole wheat pasta
2768,burgers,ham,spaghetti
2769,burgers,whole wheat rice,blueberries
2770,fresh tuna,spaghetti,milk
2771,grated cheese,spaghetti,eggs
2773,herb & pepper,red wine,frozen vegetables
2774,milk,flax seed,antioxydant juice
2775,frozen vegetables,mineral water,cooking oil
2776,spaghetti,mineral water,brownies
2777,salmon,pancakes,cake
2781,tomatoes,cookies,champagne
2782,fresh tuna,shrimp,frozen vegetables
2783,herb & pepper,mineral water,cooking oil
2784,spaghetti,chocolate,escalope
2785,fresh tuna,frozen vegetables,energy bar
2786,milk,salmon,fresh bread
2787,spaghetti,nonfat milk,burger sauce
2788,mineral water,pancakes,magazines
2789,ground beef,butter,eggs
2791,red wine,tomatoes,ground beef
2792,burgers,yams,mineral water
2794,grated cheese,ground beef,almonds
2795,turkey,chocolate,grated cheese
2797,ground beef,butter,french fries
2798,chocolate,herb & pepper,ground beef
2802,burgers,fresh tuna,parmesan cheese
2803,turkey,burgers,grated cheese
2805,spaghetti,mineral water,milk
2807,turkey,grated cheese,shrimp
2808,burgers,mineral water,butter
2810,herb & pepper,shrimp,tomatoes
2812,turkey,cooking oil,escalope
2813,grated cheese,olive oil,muffins
2814,frozen vegetables,whole wheat pasta,spaghetti
2817,ham,spaghetti,mineral water
2818,shrimp,black tea,eggs
2819,shrimp,frozen vegetables,ground beef
2820,spaghetti,hot dogs,white wine
2824,frozen vegetables,spaghetti,olive oil
2825,red wine,spaghetti,chocolate bread
2826,burgers,spaghetti,avocado
2827,mineral water,soup,gums
2830,turkey,spaghetti,olive oil
2831,tomatoes,whole wheat pasta,spaghetti
2832,ground beef,mineral water,milk
2833,burgers,ham,eggs
2834,carrots,eggplant,french fries
2835,turkey,burgers,yams
2836,ham,vegetables mix,blueberries
2837,whole wheat pasta,meatballs,milk
2841,meatballs,eggs,cottage cheese
2843,turkey,pepper,tomato sauce
2845,grated cheese,ground beef,green tea
2848,milk,energy bar,frozen smoothie
2850,grated cheese,mineral water,almonds
2851,frozen vegetables,whole wheat pasta,spaghetti
2852,burgers,mineral water,milk
2853,fresh tuna,spaghetti,mineral water
2854,burgers,red wine,whole wheat pasta
2856,nonfat milk,cookies,brownies
2858,grated cheese,spaghetti,milk
2859,butter,chocolate,yogurt cake
2865,mineral water,chocolate,soup
2866,mineral water,milk,french fries
2867,tomatoes,ground beef,chocolate
2869,turkey,spaghetti,mineral water
2870,eggs,rice,eggplant
2871,burgers,fresh tuna,spaghetti
2872,antioxydant juice,mint green tea,french fries
2875,tomato sauce,chocolate,fresh bread
2876,ham,avocado,butter
2877,tomatoes,ground beef,spaghetti
2878,shrimp,black tea,pancakes
2879,turkey,olive oil,flax seed
2882,fresh tuna,spinach,honey
2883,turkey,shrimp,green beans
2884,french fries,yogurt cake,low fat yogurt
2885,mineral water,butter,pancakes
2887,champagne,cookies,green tea
2888,ground beef,spaghetti,mineral water
2891,escalope,pancakes,energy drink
2892,mineral water,cake,light cream
2895,ham,turkey,shrimp
2896,chocolate,french fries,white wine
2898,burgers,mineral water,milk
2899,grated cheese,tomatoes,spaghetti
2905,mineral water,cake,burger sauce
2908,frozen vegetables,parmesan cheese,pepper
2910,ham,ground beef,mineral water
2911,ham,olive oil,green tea
2918,burgers,tomatoes,ground beef
2919,frozen vegetables,tomatoes,spaghetti
2921,turkey,ground beef,yams
2924,shrimp,frozen vegetables,tomatoes
2926,whole wheat rice,chocolate,french fries
2929,fromage blanc,eggs,protein bar
2930,chocolate,frozen vegetables,tomatoes
2931,frozen vegetables,spaghetti,eggs
2932,mineral water,carrots,chocolate
2935,burgers,spaghetti,gums
2936,tomatoes,eggs,chocolate
2937,spaghetti,champagne,frozen smoothie
2938,burgers,spaghetti,cider
2939,frozen vegetables,mineral water,muffins
2940,cake,chicken,green tea
2942,fresh tuna,ham,mineral water
2944,burgers,grated cheese,frozen vegetables
2945,turkey,burgers,fresh tuna
2950,whole wheat pasta,ground beef,yams
2951,avocado,frozen smoothie,energy drink
2953,grated cheese,yams,mineral water
2954,chocolate,champagne,pasta
2955,frozen vegetables,spaghetti,olive oil
2956,tomatoes,honey,green tea
2957,frozen vegetables,butter,cake
2961,grated cheese,frozen vegetables,tomato sauce
2963,grated cheese,chocolate,mashed potato
2964,energy bar,salmon,green tea
2965,burgers,herb & pepper,frozen vegetables
2966,frozen vegetables,milk,olive oil
2968,french fries,hot dogs,energy drink
2973,spaghetti,green tea,chocolate
2974,burgers,grated cheese,spaghetti
2975,cake,pancakes,toothpaste
2976,fromage blanc,ketchup,melons
2978,chocolate,olive oil,muffins
2979,whole wheat pasta,french fries,cottage cheese
2981,tomatoes,whole wheat pasta,mineral water
2983,french fries,frozen smoothie,brownies
2984,milk,muffins,french fries
2988,herb & pepper,escalope,body spray
2989,eggs,carrots,green tea
2990,turkey,frozen vegetables,pancakes
2991,burgers,red wine,eggs
2993,grated cheese,mineral water,avocado
2998,ham,ground beef,mineral water
2999,burgers,frozen vegetables,whole wheat pasta
3000,whole wheat pasta,eggs,cake
3002,mineral water,avocado,milk
3005,shrimp,spaghetti,chocolate
3007,herb & pepper,spaghetti,eggplant
3008,milk,whole wheat rice,cooking oil
3009,ham,mineral water,strong cheese
3011,spaghetti,eggs,mushroom cream sauce
3015,mineral water,olive oil,frozen smoothie
3018,ham,eggs,french fries
3021,turkey,mineral water,salmon
3023,tomatoes,mineral water,chocolate
3025,pepper,bacon,eggs
3028,fresh tuna,chocolate,shrimp
3029,ground beef,mineral water,french fries
3032,avocado,vegetables mix,green grapes
3034,chocolate,grated cheese,salmon
3035,mineral water,chicken,whole wheat rice
3037,grated cheese,spaghetti,meatballs
3040,shrimp,mineral water,milk
3041,french fries,escalope,pasta
3042,turkey,whole wheat pasta,olive oil
3045,chicken,brownies,asparagus
3048,milk,olive oil,salmon
3051,red wine,mineral water,milk
3052,red wine,mineral water,bacon
3053,burgers,frozen vegetables,mineral water
3057,butter,shallot,energy drink
3058,shrimp,frozen vegetables,tomato sauce
3059,burgers,mineral water,flax seed
3063,herb & pepper,whole wheat pasta,avocado
3064,tomatoes,whole wheat rice,champagne
3067,bacon,rice,cookies
3068,burgers,meatballs,antioxydant juice
3069,tomatoes,milk,salmon
3071,frozen vegetables,vegetables mix,nonfat milk
3073,fresh tuna,ground beef,mineral water
3074,tomatoes,mineral water,olive oil
3076,burgers,frozen vegetables,spaghetti
3077,frozen vegetables,ground beef,mineral water
3080,burgers,cooking oil,low fat yogurt
3082,burgers,turkey,red wine
3084,herb & pepper,shrimp,frozen vegetables
3085,olive oil,clothes accessories,french fries
3087,red wine,yams,mineral water
3088,ham,herb & pepper,shrimp
3089,burgers,tomatoes,mineral water
3090,burgers,red wine,pancakes
3092,honey,pancakes,green tea
3095,tomatoes,spaghetti,salmon
3100,soup,butter,cider
3105,grated cheese,spaghetti,mineral water
3106,burgers,black tea,bacon
3108,chocolate,frozen smoothie,cookies
3109,shrimp,mineral water,brownies
3110,ground beef,olive oil,salmon
3112,eggs,chocolate,green tea
3115,spaghetti,honey,low fat yogurt
3116,red wine,avocado,almonds
3117,whole wheat pasta,meatballs,milk
3118,burgers,mineral water,cake
3122,mineral water,salmon,green tea
3123,shrimp,ground beef,mineral water
3124,frozen vegetables,parmesan cheese,mineral water
3125,chocolate,frozen vegetables,whole wheat rice
3127,spaghetti,mineral water,olive oil
3128,chocolate,whole wheat rice,escalope
3130,escalope,pasta,mushroom cream sauce
3132,grated cheese,tomatoes,pepper
3133,mineral water,soup,milk
3135,ground beef,tomato sauce,spaghetti
3136,turkey,eggs,honey
3137,spaghetti,mineral water,spinach
3143,mineral water,soda,hot dogs
3147,tomatoes,muffins,escalope
3150,frozen vegetables,muffins,green grapes
3151,spaghetti,butter,chocolate bread
3153,chocolate,cookies,tomato juice
3157,burgers,parmesan cheese,almonds
3160,frozen vegetables,ground beef,mineral water
3162,frozen vegetables,tomatoes,butter
3164,burgers,frozen vegetables,tomatoes
3166,mineral water,chocolate,olive oil
3167,spaghetti,chocolate,soup
3169,turkey,burgers,fromage blanc
3170,burgers,champagne,green tea
3172,burgers,energy bar,french fries
3173,grated cheese,mineral water,cake
3175,pet food,green beans,hot dogs
3176,fresh tuna,frozen vegetables,tomatoes
3178,salmon,cooking oil,asparagus
3179,chocolate,oil,cooking oil
3180,whole wheat pasta,spaghetti,milk
3181,turkey,spaghetti,salmon
3182,frozen vegetables,milk,flax seed
3183,herb & pepper,tomatoes,ground beef
3184,turkey,eggs,cake
3186,shrimp,mineral water,gums
3187,mineral water,eggs,tomato juice
3189,turkey,burgers,chocolate
3191,burgers,chicken,bacon
3194,turkey,burgers,shrimp
3196,shrimp,milk,frozen smoothie
3197,spaghetti,salmon,pancakes
3198,burgers,milk,champagne
3199,herb & pepper,soup,chicken
3202,spaghetti,salmon,nonfat milk
3203,spaghetti,mineral water,meatballs
3204,ground beef,spaghetti,mineral water
3205,cereals,chocolate,french fries
3207,oil,frozen smoothie,white wine
3209,frozen vegetables,milk,green tea
3213,burgers,tomatoes,mineral water
3214,burgers,frozen vegetables,mineral water
3215,burgers,ground beef,eggs
3217,burgers,black tea,eggs
3219,cake,cookies,cottage cheese
3224,chocolate,french fries,hot dogs
3227,ham,grated cheese,ground beef
3232,vegetables mix,eggs,whole wheat rice
3233,spaghetti,eggs,chocolate
3237,turkey,chocolate,muffins
3238,milk,butter,eggs
3239,shrimp,tomatoes,mineral water
3240,burgers,ground beef,spaghetti
3241,turkey,shrimp,frozen vegetables
3242,dessert wine,whole wheat rice,chocolate
3243,nonfat milk,eggs,cake
3244,tomato sauce,spaghetti,olive oil
3245,parmesan cheese,ground beef,spaghetti
3246,burgers,almonds,carrots
3247,turkey,black tea,eggs
3248,turkey,eggs,strawberries
3250,turkey,red wine,whole wheat rice
3251,mineral water,olive oil,cake
3253,frozen vegetables,parmesan cheese,spaghetti
3255,fresh tuna,shrimp,meatballs
3257,chocolate,frozen vegetables,tomatoes
3258,frozen vegetables,tomatoes,mineral water
3259,shrimp,mineral water,chocolate
3260,frozen vegetables,mineral water,milk
3261,herb & pepper,shrimp,frozen vegetables
3262,spaghetti,nonfat milk,low fat yogurt
3263,escalope,pasta,mushroom cream sauce
3267,soup,avocado,milk
3268,shrimp,frozen vegetables,spaghetti
3269,grated cheese,butter,chocolate
3271,frozen vegetables,mineral water,muffins
3273,tomatoes,pepper,spaghetti
3274,ground beef,eggs,cake
3276,tomatoes,eggs,antioxydant juice
3280,muffins,oil,escalope
3281,spaghetti,mineral water,soup
3282,chocolate,ground beef,milk
3283,parmesan cheese,whole wheat pasta,spaghetti
3285,frozen vegetables,ground beef,spaghetti
3289,milk,hot dogs,fresh bread
3290,chocolate,herb & pepper,milk
3291,mineral water,nonfat milk,cake
3292,burgers,frozen vegetables,gums
3294,burgers,frozen vegetables,mineral water
3295,butter,eggs,sparkling water
3299,tomatoes,mineral water,french fries
3301,red wine,frozen vegetables,ground beef
3303,grated cheese,ground beef,olive oil
3304,ham,red wine,mineral water
3305,red wine,frozen vegetables,tomatoes
3307,mineral water,chocolate,milk
3310,shrimp,green grapes,pancakes
3312,olive oil,eggs,cake
3313,burgers,spaghetti,milk
3316,spaghetti,mineral water,nonfat milk
3317,ground beef,whole wheat rice,extra dark chocolate
3318,ground beef,soup,bacon
3320,spaghetti,energy bar,cider
3322,dessert wine,mineral water,barbecue sauce
3323,frozen vegetables,ground beef,spaghetti
3324,frozen vegetables,eggs,barbecue sauce
3327,escalope,pasta,mushroom cream sauce
3329,mineral water,eggs,green tea
3331,chocolate,bacon,mint green tea
3332,red wine,frozen vegetables,french wine
3334,burgers,ham,shrimp
3335,parmesan cheese,hot dogs,energy drink
3339,fresh tuna,soup,avocado
3340,burgers,hot dogs,melons
3341,herb & pepper,spaghetti,meatballs
3346,tomatoes,ground beef,butter
3347,eggs,cake,fresh bread
3349,grated cheese,mineral water,avocado
3350,spaghetti,honey,cake
3353,shrimp,pepper,french wine
3358,burgers,ground beef,mineral water
3359,shrimp,spaghetti,salmon
3366,grated cheese,frozen vegetables,ground beef
3367,turkey,honey,cooking oil
3368,burgers,chocolate,shrimp
3369,grated cheese,shrimp,frozen vegetables
3373,turkey,spaghetti,mushroom cream sauce
3374,turkey,frozen vegetables,pepper
3377,burgers,shrimp,frozen vegetables
3380,mineral water,black tea,eggs
3381,turkey,eggs,french fries
3383,tomatoes,eggs,melons
3386,spaghetti,milk,pancakes
3387,ham,eggs,cake
3389,antioxydant juice,french fries,escalope
3390,eggs,frozen smoothie,escalope
3391,ground beef,spaghetti,green beans
3392,fresh tuna,mineral water,milk
3394,eggs,green tea,chocolate
3396,turkey,mineral water,eggs
3397,mineral water,pancakes,french fries
3398,mineral water,meatballs,energy drink
3399,shrimp,ground beef,pepper
3401,sparkling water,energy drink,light mayo
3405,spaghetti,olive oil,chicken
3406,mineral water,avocado,oil
3408,chocolate,milk,eggs
3409,eggs,french fries,frozen smoothie
3410,tomatoes,pepper,mineral water
3411,grated cheese,shrimp,frozen vegetables
3412,turkey,grated cheese,milk
3413,burgers,french fries,escalope
3414,shrimp,avocado,low fat yogurt
3415,whole wheat rice,clothes accessories,cookies
3421,chocolate,ground beef,mineral water
3422,eggs,mushroom cream sauce,candy bars
3423,grated cheese,shrimp,ground beef
3424,burgers,whole wheat rice,cooking oil
3427,ground beef,spaghetti,mineral water
3429,turkey,frozen vegetables,spaghetti
3430,butter,escalope,shallot
3431,mineral water,soup,milk
3432,mineral water,pancakes,low fat yogurt
3433,burgers,milk,eggs
3435,burgers,herb & pepper,frozen vegetables
3436,herb & pepper,spaghetti,eggs
3437,extra dark chocolate,green tea,candy bars
3439,milk,frozen smoothie,white wine
3440,burgers,french fries,cookies
3441,ground beef,pepper,mineral water
3444,frozen vegetables,chicken,bacon
3445,frozen vegetables,spaghetti,mineral water
3446,shrimp,frozen vegetables,tomatoes
3447,chocolate,red wine,shrimp
3448,avocado,milk,butter
3451,pepper,cereals,antioxydant juice
3452,salmon,cooking oil,carrots
3453,chocolate,red wine,tomatoes
3454,chocolate,tomatoes,mineral water
3455,pepper,cookies,green tea
3456,ham,chocolate,grated cheese
3457,shrimp,tomatoes,mineral water
3460,grated cheese,tomatoes,soup
3461,meatballs,butter,chicken
3463,chocolate,frozen vegetables,nonfat milk
3464,tomatoes,ground beef,spaghetti
3467,whole wheat pasta,ground beef,milk
3468,red wine,frozen vegetables,milk
3470,turkey,frozen vegetables,ground beef
3474,tomatoes,spaghetti,mineral water
3475,mineral water,olive oil,eggs
3476,red wine,ground beef,mineral water
3478,spaghetti,mineral water,milk
3479,oil,chocolate,cottage cheese
3480,herb & pepper,shrimp,frozen vegetables
3482,burgers,ground beef,soup
3483,burgers,butter,light cream
3484,grated cheese,chocolate,soup
3488,grated cheese,ground beef,spaghetti
3489,mineral water,eggs,gums
3490,spaghetti,mineral water,chocolate
3491,mineral water,eggs,green tea
3492,shrimp,ground beef,pepper
3493,spaghetti,mineral water,eggs
3494,spaghetti,mineral water,soup
3495,herb & pepper,ground beef,tomato sauce
3496,burgers,salmon,vegetables mix
3497,tomatoes,rice,oil
3498,herb & pepper,ground beef,salmon
3499,chocolate,red wine,tomato sauce
3501,burgers,tomatoes,milk
3502,mineral water,eggs,escalope
3505,herb & pepper,ground beef,spaghetti
3507,spaghetti,corn,green tea
3508,herb & pepper,shrimp,frozen vegetables
3510,frozen vegetables,ground beef,almonds
3512,burgers,black tea,eggs
3513,meatballs,pancakes,eggs
3514,burgers,mineral water,green grapes
3515,eggs,french fries,frozen smoothie
3516,mineral water,eggs,corn
3520,chocolate,spaghetti,mineral water
3522,frozen vegetables,eggs,melons
3523,spaghetti,mineral water,pancakes
3525,ground beef,chocolate,cooking oil
3527,burgers,turkey,shrimp
3529,shrimp,milk,butter
3531,grated cheese,mineral water,soup
3536,herb & pepper,tomatoes,pepper
3537,mineral water,light cream,cooking oil
3538,ground beef,mineral water,olive oil
3540,mineral water,vegetables mix,french fries
3543,pickles,herb & pepper,shrimp
3545,energy bar,salmon,french fries
3551,shrimp,tomatoes,chocolate
3552,eggs,extra dark chocolate,french fries
3555,mineral water,brownies,fresh bread
3558,dessert wine,shrimp,spaghetti
3559,shrimp,frozen vegetables,ground beef
3560,turkey,tomatoes,pepper
3561,black tea,french fries,champagne
3562,fresh tuna,ground beef,pepper
3564,spaghetti,eggs,whole wheat rice
3565,burgers,energy bar,eggs
3566,milk,eggs,mint green tea
3568,grated cheese,spaghetti,mint
3571,ground beef,spaghetti,milk
3573,herb & pepper,tomatoes,mineral water
3574,tomatoes,mineral water,chocolate
3575,chocolate,shrimp,ground beef
3576,mineral water,chocolate,low fat yogurt
3578,burgers,shrimp,frozen vegetables
3579,spaghetti,mineral water,escalope
3580,frozen vegetables,milk,butter
3581,burgers,cookies,green tea
3582,red wine,barbecue sauce,chili
3583,mineral water,milk,chocolate
3584,shrimp,tomatoes,ground beef
3585,mineral water,milk,olive oil
3587,honey,cottage cheese,green tea
3589,turkey,shrimp,pepper
3590,milk,sparkling water,asparagus
3591,ground beef,spaghetti,mineral water
3593,herb & pepper,red wine,mineral water
3596,burgers,mineral water,eggs
3598,grated cheese,ground beef,mineral water
3599,grated cheese,ground beef,spaghetti
3600,burgers,red wine,tomatoes
3602,frozen vegetables,tomatoes,green tea
3603,tomatoes,mineral water,milk
3606,frozen vegetables,spaghetti,cookies
3607,mineral water,olive oil,french wine
3608,whole wheat pasta,spaghetti,mineral water
3609,fresh tuna,herb & pepper,mineral water
3610,soup,honey,cake
3614,ham,tomatoes,ground beef
3615,shrimp,frozen vegetables,mineral water
3618,green tea,french fries,brownies
3619,mineral water,energy bar,salmon
3620,mineral water,honey,cottage cheese
3621,burgers,frozen vegetables,mineral water
3624,ham,frozen vegetables,ground beef
3625,spaghetti,milk,cake
3626,turkey,ground beef,chocolate
3627,strong cheese,vegetables mix,french fries
3628,chocolate,shrimp,mineral water
3629,mineral water,cottage cheese,pancakes
3630,soup,olive oil,green tea
3632,turkey,grated cheese,butter
3633,chocolate,champagne,green tea
3635,frozen vegetables,tomatoes,ground beef
3636,burgers,tomatoes,eggs
3637,mineral water,soup,eggs
3638,pickles,chocolate,energy drink
3639,grated cheese,mineral water,chocolate
3640,herb & pepper,avocado,salmon
3641,burgers,fresh tuna,spaghetti
3642,shrimp,frozen vegetables,ground beef
3643,tomatoes,mineral water,cooking oil
3645,spaghetti,mineral water,yogurt cake
3647,mineral water,frozen smoothie,low fat yogurt
3648,mineral water,chicken,hot dogs
3649,fresh tuna,pancakes,cake
3652,chocolate,grated cheese,salmon
3653,parmesan cheese,chocolate,black tea
3654,mineral water,carrots,chocolate
3655,turkey,burgers,fresh tuna
3658,herb & pepper,ground beef,oatmeal
3659,shrimp,frozen vegetables,spaghetti
3663,grated cheese,antioxydant juice,low fat yogurt
3665,spaghetti,eggs,cake
3666,herb & pepper,shrimp,chocolate
3667,burgers,tomatoes,oil
3669,turkey,frozen vegetables,ground beef
3670,turkey,ground beef,olive oil
3671,turkey,burgers,grated cheese
3672,frozen vegetables,tomatoes,milk
3676,chocolate,spaghetti,olive oil
3677,spaghetti,olive oil,fromage blanc
3679,burgers,red wine,spaghetti
3680,burgers,frozen vegetables,mineral water
3681,grated cheese,ground beef,pepper
3683,meatballs,muffins,cottage cheese
3685,chocolate,shrimp,whole wheat pasta
3686,turkey,frozen vegetables,avocado
3687,burgers,mineral water,chocolate
3688,chocolate,tomatoes,salmon
3689,energy bar,chicken,eggs
3691,grated cheese,olive oil,french wine
3692,turkey,ham,grated cheese
3694,olive oil,antioxydant juice,french fries
3695,burgers,shrimp,ground beef
3696,ground beef,spaghetti,mineral water
3698,turkey,ground beef,pepper
3700,french fries,escalope,pasta
3707,whole wheat pasta,olive oil,oil
3711,frozen vegetables,spaghetti,mineral water
3713,soup,milk,olive oil
3714,chocolate,whole wheat pasta,spaghetti
3716,tomato sauce,mineral water,almonds
3718,burgers,ground beef,chicken
3719,frozen vegetables,avocado,milk
3722,chocolate,shrimp,pepper
3723,turkey,shrimp,chocolate
3724,chutney,eggs,body spray
3725,whole wheat pasta,ground beef,spaghetti
3726,frozen vegetables,ground beef,spaghetti
3727,turkey,escalope,pasta
3731,pancakes,honey,barbecue sauce
3732,tomato sauce,mineral water,milk
3734,frozen vegetables,chocolate,escalope
3735,burgers,shrimp,eggplant
3737,frozen vegetables,strawberries,yogurt cake
3739,mineral water,honey,frozen smoothie
3740,energy bar,vegetables mix,energy drink
3741,turkey,burgers,grated cheese
3742,milk,chocolate,french fries
3743,spaghetti,eggplant,french fries
3745,mineral water,avocado,cake
3746,grated cheese,eggs,pasta
3749,spaghetti,mineral water,frozen smoothie
3750,chocolate,herb & pepper,ground beef
3751,ground beef,spaghetti,bacon
3753,shrimp,frozen vegetables,green tea
3754,turkey,shrimp,whole wheat pasta
3756,tomatoes,chocolate,french fries
3757,burgers,cake,brownies
3760,burgers,ground beef,milk
3761,tomatoes,butter,gums
3762,mineral water,cake,low fat yogurt
3763,turkey,ground beef,pepper
3764,spaghetti,milk,olive oil
3765,chocolate,cookies,champagne
3766,mineral water,olive oil,eggs
3767,mineral water,avocado,whole wheat rice
3768,pickles,vegetables mix,pancakes
3772,ground beef,spaghetti,mineral water
3773,burgers,ground beef,escalope
3778,frozen vegetables,whole wheat pasta,mineral water
3779,fresh tuna,frozen vegetables,mineral water
3780,frozen vegetables,spaghetti,chocolate
3782,mineral water,soup,cake
3784,pickles,frozen smoothie,champagne
3785,whole wheat pasta,mineral water,chocolate
3786,spaghetti,escalope,cookies
3787,whole wheat pasta,olive oil,body spray
3788,pepper,mineral water,chocolate
3790,whole wheat pasta,frozen smoothie,brownies
3792,mineral water,milk,chocolate
3793,turkey,tomatoes,spaghetti
3794,tomatoes,ground beef,mineral water
3795,tomatoes,eggs,chocolate
3796,spaghetti,mineral water,whole wheat rice
3798,grated cheese,ground beef,spaghetti
3799,cake,chocolate,low fat yogurt
3802,fresh tuna,grated cheese,mineral water
3803,mineral water,extra dark chocolate,brownies
3804,herb & pepper,mineral water,chocolate
3805,tomatoes,spaghetti,soup
3806,herb & pepper,pepper,mineral water
3810,ground beef,spaghetti,eggs
3811,grated cheese,salmon,oil
3812,grated cheese,mineral water,butter
3815,herb & pepper,spaghetti,butter
3816,burgers,fresh tuna,mineral water
3817,whole wheat rice,french fries,frozen smoothie
3818,grated cheese,mineral water,chocolate
3820,red wine,spaghetti,mineral water
3821,ground beef,tomato sauce,spaghetti
3823,spaghetti,mineral water,whole wheat rice
3824,frozen vegetables,mineral water,soup
3825,turkey,french fries,low fat yogurt
3829,grated cheese,frozen vegetables,tomatoes
3830,mineral water,soup,extra dark chocolate
3831,red wine,black tea,honey
3833,burgers,chocolate,grated cheese
3834,grated cheese,ground beef,milk
3835,grated cheese,herb & pepper,red wine
3836,frozen vegetables,tomatoes,ground beef
3837,turkey,burgers,grated cheese
3839,ground beef,french fries,pasta
3843,grated cheese,ground beef,spaghetti
3844,tomatoes,ground beef,spaghetti
3847,herb & pepper,spaghetti,black tea
3849,pepper,mineral water,pancakes
3850,grated cheese,pancakes,blueberries
3851,turkey,herb & pepper,parmesan cheese
3852,fresh tuna,butter,chicken
3854,eggs,honey,green tea
3855,turkey,red wine,whole wheat pasta
3856,mineral water,chocolate,black tea
3857,ground beef,pepper,spaghetti
3858,eggs,whole wheat rice,french fries
3859,tomatoes,ground beef,pepper
3861,turkey,chocolate,ground beef
3862,turkey,burgers,herb & pepper
3863,shrimp,frozen vegetables,tomatoes
3865,spaghetti,mineral water,salmon
3866,fresh tuna,mineral water,honey
3867,cereals,low fat yogurt,green tea
3868,shrimp,mineral water,milk
3869,burgers,mineral water,almonds
3870,french fries,magazines,mayonnaise
3871,shrimp,chocolate,flax seed
3872,spaghetti,bug spray,whole weat flour
3873,fresh tuna,frozen vegetables,honey
3874,burgers,eggs,green tea
3875,burgers,chocolate,ground beef
3876,burgers,shrimp,milk
3877,burgers,fresh tuna,frozen vegetables
3879,herb & pepper,shrimp,frozen vegetables
3882,grated cheese,cooking oil,white wine
3883,frozen vegetables,whole wheat pasta,tomato sauce
3884,green beans,champagne,low fat yogurt
3885,frozen vegetables,ground beef,spaghetti
3886,burgers,chocolate,mineral water
3887,turkey,eggs,white wine
3889,burgers,butter,cake
3891,grated cheese,herb & pepper,ground beef
3893,ground beef,mineral water,honey
3895,shrimp,extra dark chocolate,whole weat flour
3897,frozen vegetables,mineral water,soup
3899,burgers,fresh tuna,grated cheese
3900,turkey,grated cheese,shrimp
3904,frozen vegetables,mineral water,pancakes
3905,herb & pepper,shrimp,ground beef
3908,grated cheese,tomatoes,ground beef
3909,grated cheese,frozen vegetables,ground beef
3910,tomatoes,spaghetti,milk
3912,shrimp,frozen vegetables,tomatoes
3913,burgers,herb & pepper,frozen vegetables
3914,ground beef,spaghetti,mineral water
3916,frozen vegetables,butter,whole wheat rice
3917,tomatoes,ground beef,muffins
3918,soup,milk,pancakes
3919,herb & pepper,ground beef,spaghetti
3920,turkey,ground beef,chocolate
3921,ground beef,spaghetti,butter
3922,turkey,tomatoes,ground beef
3923,red wine,ground beef,spaghetti
3925,frozen vegetables,parmesan cheese,ground beef
3927,shrimp,soup,gums
3929,turkey,ham,chocolate
3930,mineral water,pancakes,oil
3931,red wine,cake,champagne
3934,red wine,tomatoes,ground beef
3935,turkey,olive oil,green tea
